Agouti,Dasyprocta fuliginosa
Anaconda,Eunectes murinus
Andean Bear,Tremarctos ornatus
Andean Condor,Vultur gryphus
Ant,Formica rufa
Antelope,Raphicerus campestris
Armadillo,Priodontes maximus
Bald Eagle,Haliaeetus leucocephalus
Bali Myna,Leucopsar rothschildi
Bat,Myotis lucifugus
Bat-eared Fox,Otocyon megalotis
Bee,Chalicodoma pluto
Beetle,Titanus giganteus
Binturong,Arctictis binturong
Bird of Paradise,Epimachus fastuosus
Boa,Boa constrictor
Bonobo,Pan paniscus
Bowerbird,Archboldia papuensis
Brown Bear,Ursus arctos
Butterfly,Attacus atlas
Caecilian,Caecilia thompsoni
California Condor,Gymnogyps californianus
Camel,Camelus bactrianus
Capybara,Hydrochoeris hydrochaeris
Caracal,Caracal caracal
Cassowary,Casuarius casuarius
Chameleon,Furcifer oustaleti
Cheetah,Acinonyx jubatus
Chimpanzee,Pan troglodytes
Clouded Leopard,Neofelis nebulosa
Cobra,Ophiophagus hannah
Cockatoo,Calyptorhynchus banksii
Crane,Grus antigone
Crocodilian,Crocodylus porosus
Crowned Eagle,Stephanoaetus coronatus
Desert Tortoise,Gopherus agassizii
Dhole,Cuon alpinus
Dragonfly and Damselfly,Ischnura heterosticta
Dung Beetle,Scarabaeus viettei
Echidna,Tachyglossus aculeatus
Elephant,Loxodonta africana
Emu,Dromaius novaehollandiae
Fishing Cat,Prionailurus viverrinus
Flamingo,Phoenicopterus ruber
Fossa,Cryptoprocta ferox
Frog & Toad,Conraua goliath
Galápagos Tortoise,Chelonoidis nigra
Giant Anteater,Myrmecophaga tridactyla
Giant Panda,Ailuropoda melanoleuca
Gila Monster,Heloderma suspectum
Giraffe,Giraffa camelopardalis
Goat & Sheep,Ovibos moschatus
Golden Eagle,Aquila chrysaetos
Goliath Frog,Conraua goliath
Gorilla,Gorilla gorilla
Gouldian Finch,Erythrura gouldiae
Guam Rail,Gallirallus owstoni
Guanaco,Lama guanicoe
Guenon,Erythrocebus patas
Harpy Eagle,Harpia harpyja
Hedgehog,Atelerix albiventris
Hippo,Hippopotamus amphibious
Honey Badger,Mellivora capensis
Hornbill,Bucorvus leadbeateri
Hummingbird,Patagona gigas
Ibis,Pseudibis gigantea
Iguana,Iguana iguana
Jacana,Jacana jacana
Jaguar,Panthera onca
Kagu,Rhynochetos jubatus
Kangaroo & Wallaby,Macropus rufus
Kingfisher,Dacelo novaeguineae
Kingsnake,Lampropeltis getula
Kinkajou,Potos flavus
Kiwi,Apteryx oweni
Koala,Phascolarctos cinereus
Komodo Dragon,Varanus komodoensis
Ladybug,Coccinella magnifica
Laughing Kookaburra,Dacelo novaeguineae
Lemur,Indri indri
Leopard,Panthera pardus
Lion,Panthera leo
Lizard,Varanus komodoensis
Lory & Lorikeet,Trichoglossus haematodus
Lynx and Bobcat,Lynx lynx
Macaw,Anodorhynchus hyacinthinus
Mandrill,Mandrillus sphinx
Mangabey,Lophocebus aterrimus
Mantella,Mantella aurantiaca
Marsupial,Macropus rufus
Meerkat,Suricata suricatta
Monkey,Mandrillus sphinx
Mountain Lion,Puma concolor
Naked Mole-rat,Heterocephalus glaber
Nile Lechwe,Kobus megaceros
Ocelot,Leopardus pardalis
Okapi,Okapia johnstoni
Orangutan,Pongo abelii
Oryx,Oryx gazella
Ostrich,Struthio camelus
Otter,Pteronura brasiliensis
Owl,Tyto alba
Painted Dog,Lycaon pictus
Panamanian Golden Frog,Atelopus zeteki
Parrot,Anodorhynchus hyacinthinus
Peafowl,Pavo cristatus
Pelican,Pelecanus crispus
Poison Frog,Dendrobates leucomelas
Polar Bear,Ursus maritimus
Porcupine,Hystrix cristata
Prairie Dog,Cynomys ludovicianus
Pronghorn,Antilocapra americana
Przewalski's Horse,Equus caballus
Pygmy Hippopotamus,Choeropsis liberiensis
Pygmy Marmoset,Callithrix pygmaea
Python,Python reticulatus
Rattlesnake,Crotalus adamanteus
Red Panda,Ailurus fulgens
Red-Tailed Hawk,Buteo jamaicensis
Reindeer,Rangifer tarandus
Rhinoceros,Diceros bicornis
Ringtail Possum,Pseudocheirus peregrinus
Rock Hyrax,Procavia capensis
Salamander & Newt,Andrias japonicus
Scorpion,Hadogenes troglodytes
Sea Lion,Eumetopias jubatus
Secretary Bird,Sagittarius serpentarius
Serval,Leptailurus serval
Siamang,Symphalangus syndactylus
Singing Dog,Canis hallstromi
Slender-Snouted Crocodile,Mecistops cataphractus
Sloth Bear,Ursus ursinus
Small Cats,Puma concolor
Snake,Python reticulatus
Snow Leopard,Panthera uncia
Sociable Weavers,Philetarius socius
Somali Wild Ass,Equus asinus
Spider,Theraphosa blondi
Spiral-Horned Antelope ,Taurotragus derbianus
Spotted Hyena,Crocuta crocuta
Steller's Sea-Eagle,Haliaeetus pelagicus
Stick Insect,Leptynia hispanica
Stork,Leptoptilos crumeniferus
Striped Hyena,Hyaena hyaena
Sun Bear,Helarctos malayanus
Surinam Toad,Pipa Pipa
Takin,Budorcas taxicolor
Tamandua or Lesser Anteater,Tamandua tetradactyla
Tapir,Tapirus indicus
Tarantula,Theraphosa blondi
Tasmanian Devil,Sarcophilus harrisii
Thick-Billed Parrot,Rhynchopsitta pachyrhyncha
Tiger,Panthera tigris
Toucan,Ramphastos toco
Tree Pangolin,Manis tricuspis
Tuatara,Sphenodon punctatus
Turtle & Tortoise,Dermochelys coriacea
Two-Toed Sloth,Choloepus hoffmanni
Vulture,Gyps himalayensis
Warthog,Phacochoerus africanus
Wild Cattle,Bos bison
Wild Swine,Sus scrofa
Wolf,Canis lupus
Wombat,Vombatus ursinus
Zebra,Equus quagga
